Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?q=cierre,643,0,5900.0,5876.581560186534,2304.2781999974977,11008.696400007466,1912.0,11.023071295869935,0.0,5900,6200,6400,6600,8300,9500,10000,10000,11000,11000,11000
GET,/?q=xyz_inexistente,199,0,6600.0,6400.254060301185,2334.8382000112906,11210.491300007561,1203.0,3.411494848955081,0.0,6600,7100,7600,7800,9500,10000,11000,11000,11000,11000,11000
,Aggregated,842,0,6000.0,6000.34738859843,2304.2781999974977,11210.491300007561,1744.433491686461,14.434566144825016,0.0,6000,6400,6700,7000,8600,9700,10000,11000,11000,11000,11000
