DocumentID,Weight
436,30.2931
437,37.0732
438,36.9697
439,37.3057
440,35.3234
441,40.991
442,34.2723
443,34.5972
444,47.8344
445,49.9572
446,40.9091
447,65.3846
448,73.1092
449,75.7812
450,75.5319
451,84.0426
452,43.0097
453,44.8492
454,95.6522
455,51.9651
456,68.4848
457,56.1605
458,35.179
459,60.241
460,35.5619
461,34.6432
462,40.0512
463,45.7426
464,44.6629
465,51.3361
466,64.1221
467,47.3469
468,50.6757
469,61.9048
470,67.2566
471,62.7737
472,53.8961
473,57.4018
474,53.6998
475,47.0263
476,61.9048
477,54.8736
478,51.0978
479,62.1302
480,58.1081
481,95.8333
482,71.6216
483,57.3416
484,74.5455
485,35.503
486,60.2151
487,85.7143
488,76.6667
489,71.5909
490,89.1304
491,29.3951
492,72.5
493,73.7452
494,58.4699
495,100.0
496,71.7391
497,30.9693
498,57.377
499,52.6022
500,58.7106
501,61.2346
502,68.75
