DocumentID,Weight
1,38.7334
2,50.7692
3,79.8969
4,29.9641
5,81.3953
6,34.076
7,63.3803
8,49.1484
9,61.4561
10,37.3303
11,67.7632
12,84.2105
13,85.3659
14,68.75
15,63.0137
16,83.2061
17,68.8995
18,35.7701
19,66.0377
20,59.2941
21,55.5985
22,94.7368
23,68.3761
24,50.8571
25,52.8681
26,29.8722
27,49.4243
28,26.1237
29,59.799
30,73.1884
31,68.0
32,49.6711
33,55.161
34,87.5
35,68.3077
36,38.954
37,50.5764
38,80.0
39,45.6221
40,46.0733
41,49.002
42,28.976
43,58.6115
44,100.0
45,35.2113
46,55.6974
47,83.871
48,66.8203
49,50.0353
50,60.6557
51,64.6865
52,72.0588
53,71.4829
54,69.962
55,82.9268
56,66.9811
57,66.4441
58,69.3642
59,64.1283
60,47.6744
61,56.2341
62,73.5484
63,50.8967
64,78.3133
65,41.6114
66,52.6639
67,51.1041
68,50.4
69,54.4554
70,76.5217
71,43.5897
72,79.5918
73,53.132
74,57.3951
75,29.1842
76,39.4737
77,45.6446
78,60.5263
79,39.1593
80,79.3103
81,41.7965
82,68.4211
83,69.4656
84,63.4675
85,49.9237
86,62.2034
87,42.615
88,60.4863
89,71.4286
90,50.7338
91,64.2857
92,70.2128
93,73.1183
94,45.6522
95,65.5914
96,53.0364
97,55.614
98,66.6667
99,88.0
100,39.2177
101,92.0
102,67.0588
103,76.824
104,58.5253
105,52.682
106,79.1667
107,57.2254
108,63.9286
109,76.6667
110,75.0
111,55.6619
112,74.5098
113,47.7083
114,53.0888
115,73.4043
116,52.2388
117,39.9475
118,52.8265
119,63.4146
120,63.4783
121,61.5385
122,74.7475
123,47.3025
124,73.2143
125,59.7015
126,89.5833
127,69.9029
128,62.8099
129,92.0
130,61.5942
131,73.9837
132,44.289
133,76.6667
134,77.5862
135,60.5108
136,25.2427
137,78.3019
138,58.1545
139,76.087
140,51.1111
141,82.5
142,79.2079
143,70.2222
144,51.453
145,39.0731
146,47.6518
147,65.5172
148,61.5942
149,40.8935
150,59.1837
151,52.7667
152,70.0
153,45.6182
154,100.0
155,44.2561
156,72.381
157,93.3333
158,42.0259
159,51.0782
160,40.9992
161,77.4775
162,65.1481
163,55.2876
164,68.6747
165,38.8235
166,78.0645
167,58.0
168,78.5714
169,80.0
170,77.6316
171,56.6879
172,83.3333
173,57.8867
174,77.9412
175,47.3171
176,68.9769
177,59.53
178,44.2078
179,63.75
180,48.6566
181,75.2874
182,60.401
183,56.848
184,55.8989
185,94.4444
186,65.625
187,58.7719
188,45.509
189,63.7931
190,86.8852
191,60.7692
192,62.3037
193,61.8018
194,58.9091
195,75.6219
196,52.2318
197,63.2653
198,66.1905
199,80.2632
200,82.2222
201,60.5081
202,43.762
203,54.0541
204,54.2077
205,56.9191
206,53.7118
207,62.2449
208,70.4289
209,69.5652
210,56.2189
211,57.7381
212,60.0587
213,50.0
214,55.0787
215,61.0169
216,84.4828
217,70.1031
218,62.3333
219,64.6825
220,75.4167
221,50.8485
222,42.1111
223,40.3042
224,72.5225
225,46.8017
226,64.0
227,68.5446
